0,Cosmetics,Phase2
0,CombatZoneResize,141,226,506,391,TLResume,,
0,HeartTeleport,320,336
0,HeartMode,0,,,,,,
0.5,BoneVRepeat,141,226,82,0,150,25,150,1
0,BoneVRepeat,506,308,82,2,150,25,150,2
0.5,BoneVRepeat,141,226,82,0,150,25,150,2
0,BoneVRepeat,506,308,82,2,150,25,150,1
0,Set,Loop,3
0,RND,Ang,360,,,,,,
0.5,SET,Loop,7,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPNL,26,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPNG,28,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPNL,30,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPNG,32,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,0.35,0.03333
0.1,RND,Ang,360,,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPNL,48,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPNG,50,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPNL,52,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPNG,54,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,0.37,0.03333
0.1,RND,Ang,360,,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPNL,70,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPNG,72,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPNL,74,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPNG,76,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,0.4,0.03333
1,JMPNZ,12,$Loop,,,,,,
0,endattack
